REVIEW_ID,USER_ID,RATING,REVIEW_TITLE,REVIEW_TEXT,REVIEW_DATE
0,1228,5,最高の体験！,友人にも自信を持って勧められるサービスです。サポートの対応も迅速で丁寧でした。,2025-06-02
1,1817,1,最悪の体験,雨の中、故障した自転車しか残っておらず、本当に最悪でした。ユーザーのことを考えているとは思えません。,2025-08-24
2,1922,4,良いサービスだと思います,通勤で利用しました。渋滞を避けられて快適です。もう少しステーションが増えると嬉しいです。,2025-01-18
3,1867,3,まあまあです,時間帯によっては空いている自転車が全くないことがあります。需要予測の精度を上げてほしい。,2025-10-02
4,1006,4,とても便利でした,通勤で利用しました。渋滞を避けられて快適です。もう少しステーションが増えると嬉しいです。,2025-03-22
5,1812,2,改善を期待します,借りた自転車のチェーンが外れかかっていて、キーキーと音が鳴り不快でした。安全面が心配です。,2025-02-10
6,1429,4,とても便利でした,手軽に運動不足を解消できて助かっています。健康的なライフスタイルに貢献してくれますね。,2024-11-23
7,1747,3,こんなものかな,利用料金が少し高いように感じました。もう少し安ければ、もっと頻繁に使うのですが。,2025-06-30
8,1648,5,絶対にまた使います,料金体系が明確で安心して利用できます。電動アシスト付きのモデルは坂道も楽々で感動しました。,2025-02-21
9,1417,3,普通でした,可もなく不可もなくといったところです。選択肢の一つとしてはアリだと思います。,2025-02-19
10,1050,1,最悪の体験,全く身に覚えのない高額な延長料金を請求されました。システムのバグとしか思えません。二度と使いません。,2025-05-11
11,1260,3,まあまあです,利用料金が少し高いように感じました。もう少し安ければ、もっと頻繁に使うのですが。,2025-01-09
12,1796,3,普通でした,ごく普通の自転車でした。期待以上でも以下でもありません。急いでいる時には便利です。,2025-03-11
13,1196,5,絶対にまた使います,友人にも自信を持って勧められるサービスです。サポートの対応も迅速で丁寧でした。,2025-02-18
14,1763,3,可もなく不可もなく,タイヤの空気が少し抜けているようでした。利用前に自分でチェックする必要がありそうです。,2025-07-15
15,1138,5,絶対にまた使います,友人にも自信を持って勧められるサービスです。サポートの対応も迅速で丁寧でした。,2025-09-09
16,1727,4,また利用したい,手軽に運動不足を解消できて助かっています。健康的なライフスタイルに貢献してくれますね。,2025-06-26
17,1493,3,可もなく不可もなく,利用料金が少し高いように感じました。もう少し安ければ、もっと頻繁に使うのですが。,2025-05-30
18,1400,3,まあまあです,ごく普通の自転車でした。期待以上でも以下でもありません。急いでいる時には便利です。,2025-08-11
19,1795,2,少し残念,借りた自転車のチェーンが外れかかっていて、キーキーと音が鳴り不快でした。安全面が心配です。,2025-05-16
20,1949,4,良いサービスだと思います,初めて利用しましたが、登録から返却までスムーズにできました。また使いたいと思います。,2024-11-15
21,1779,2,改善を期待します,返却したはずなのに、アプリ上で利用が継続されていて焦りました。システムエラーでしょうか。,2025-04-06
22,1432,1,信じられない,走行中にペダルが外れ、危うく大怪我をするところでした。安全管理はどうなっているのでしょうか。,2025-08-16
23,1321,2,あまり良くない,返却したはずなのに、アプリ上で利用が継続されていて焦りました。システムエラーでしょうか。,2025-09-26
24,1568,5,最高の体験！,メンテナンスが行き届いており、非常に快適な乗り心地でした。都市観光には欠かせないツールです。,2025-02-22
25,1786,1,最悪の体験,全く身に覚えのない高額な延長料金を請求されました。システムのバグとしか思えません。二度と使いません。,2025-01-21
26,1880,5,文句なしの満点です,友人にも自信を持って勧められるサービスです。サポートの対応も迅速で丁寧でした。,2025-05-07
27,1948,2,少し残念,サドルが破れていて、雨が降った後だったのでズボンが濡れてしまいました。点検を強化してください。,2025-07-07
28,1235,3,まあまあです,時間帯によっては空いている自転車が全くないことがあります。需要予測の精度を上げてほしい。,2025-09-05
29,1688,4,良いサービスだと思います,初めて利用しましたが、登録から返却までスムーズにできました。また使いたいと思います。,2025-05-27
30,1730,2,少し残念,借りた自転車のチェーンが外れかかっていて、キーキーと音が鳴り不快でした。安全面が心配です。,2024-10-31
31,1380,4,満足です,初めて利用しましたが、登録から返却までスムーズにできました。また使いたいと思います。,2025-05-07
32,1852,3,特に問題なし,ごく普通の自転車でした。期待以上でも以下でもありません。急いでいる時には便利です。,2024-12-23
33,1276,3,こんなものかな,タイヤの空気が少し抜けているようでした。利用前に自分でチェックする必要がありそうです。,2025-01-02
34,1068,1,ひどい,全く身に覚えのない高額な延長料金を請求されました。システムのバグとしか思えません。二度と使いません。,2025-02-11
35,1853,4,快適な移動手段,手軽に運動不足を解消できて助かっています。健康的なライフスタイルに貢献してくれますね。,2025-02-26
36,1809,3,まあまあです,ごく普通の自転車でした。期待以上でも以下でもありません。急いでいる時には便利です。,2025-02-11
37,1027,3,可もなく不可もなく,可もなく不可もなくといったところです。選択肢の一つとしてはアリだと思います。,2025-03-21
38,1859,2,改善を期待します,アプリの地図が不正確で、ステーションを見つけるのに苦労しました。もう少し精度を上げてほしい。,2024-11-03
